V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241156,V241157,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241450,V241459,V241463,V241471,V241501x,V241567x,V241621,V243052
232711,1,1,1,1,1,1,1,1,5,3,3,4,4,3,3,3,4,4,1,2,1,85,0,1,1,1,1,1,5,5,5,5,5,1,1,1,2,2,3,1,5,1,1,216100,1,MT
232734,1,2,1,1,1,1,1,1,1,3,3,2,4,3,3,3,3,4,2,1,1,70,15,3,3,3,3,2,3,5,5,5,4,1,1,1,4,2,1,1,4,1,4,772128,3,MT
232793,1,1,1,1,1,1,1,1,1,3,3,4,4,3,4,3,4,3,1,1,1,90,0,2,1,1,2,2,5,5,5,5,5,1,2,2,4,2,1,1,4,2,1,176746,2,MT
232858,2,1,1,1,1,1,1,1,1,5,5,3,2,3,4,3,4,5,1,1,1,100,0,1,1,1,1,1,5,5,5,5,3,1,1,2,4,2,3,1,5,1,1,130603,1,MT
233030,4,1,1,4,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,50,0,3,4,4,4,2,5,5,5,5,5,2,1,1,3,4,4,4,3,1,5,34642,2,MT
233036,2,1,1,1,1,1,4,5,5,4,3,4,3,2,3,3,3,3,1,1,1,100,0,2,1,2,1,2,5,5,5,5,5,1,1,3,4,2,1,4,3,1,5,53516,3,MT
233048,3,1,1,1,1,1,2,1,1,3,4,3,5,1,4,2,5,3,2,2,2,85,40,2,3,3,3,3,3,3,3,3,3,1,2,2,3,2,1,6,1,2,3,168606,5,MT
233223,2,1,1,1,1,1,1,1,1,4,4,3,3,3,2,3,3,2,1,2,1,95,0,1,1,1,3,1,5,5,5,5,3,2,1,1,4,2,1,1,5,2,1,227450,2,MT
233288,2,2,1,2,1,2,1,2,2,2,4,4,4,1,4,1,4,4,2,2,2,15,60,5,5,5,3,3,2,3,3,3,2,1,1,1,3,2,1,1,5,2,3,108420,2,MT
234405,2,2,1,4,1,2,1,2,2,2,4,5,4,1,4,1,5,4,2,2,2,0,85,5,5,5,5,3,1,2,2,3,2,3,1,1,3,3,0,6,4,1,1,195005,4,MT
234660,1,1,1,1,1,1,1,1,5,2,4,5,4,2,4,1,4,5,1,2,1,70,0,2,2,1,3,1,4,5,5,5,4,1,1,1,3,2,0,6,4,1,1,82171,3,MT
234678,2,1,1,5,1,1,1,1,1,1,2,2,3,1,4,1,5,4,1,1,1,50,0,1,3,1,1,1,5,5,5,5,5,1,1,1,2,4,3,1,5,1,1,32595,2,MT
234844,5,2,1,5,1,2,2,2,2,2,5,5,5,1,5,1,5,5,2,2,2,0,85,5,5,5,5,4,1,2,2,2,2,2,1,1,2,4,3,6,1,2,1,82069,3,MT
234924,1,1,1,1,1,1,2,1,1,3,4,4,4,1,4,1,4,4,1,1,-9,85,0,2,2,3,2,3,4,5,4,5,4,2,1,1,3,3,1,1,5,1,3,101076,3,MT
235093,2,2,1,2,1,2,2,5,5,1,5,1,1,1,3,1,4,4,2,2,1,15,85,5,5,4,5,5,2,4,3,3,3,3,1,1,3,4,3,6,2,1,2,52786,3,MT
235226,4,2,1,4,1,2,2,2,2,2,3,3,3,2,3,2,3,3,2,2,1,50,70,3,2,3,3,2,2,3,3,1,3,1,1,2,4,3,2,6,4,1,4,52459,3,MT
235304,2,1,1,1,1,1,1,1,1,3,4,3,3,3,3,3,4,4,1,1,1,85,0,2,2,2,1,2,4,5,5,5,4,1,1,2,4,2,0,4,5,2,1,49197,2,MT
235310,2,1,1,1,1,1,1,1,5,3,2,3,4,3,3,2,4,3,1,1,1,70,0,1,2,2,3,2,5,5,5,5,4,1,1,1,3,3,2,1,3,1,1,206287,3,MT
235316,2,1,1,1,1,1,2,1,1,5,3,1,3,4,3,4,3,3,1,1,1,100,50,3,3,3,3,3,5,5,4,5,4,2,1,2,4,3,0,4,2,2,3,2601,3,MT
235352,3,1,1,4,1,1,2,1,1,2,4,4,3,2,4,1,4,3,1,2,1,70,15,3,3,3,3,2,4,5,4,5,3,2,1,2,3,2,1,1,2,2,1,56374,2,MT
235459,2,2,1,1,1,1,1,1,5,2,4,5,5,2,4,2,5,4,1,1,1,60,0,3,4,3,3,3,5,5,4,5,3,1,1,1,3,3,0,4,5,1,1,195008,2,MT
235830,3,1,1,4,1,2,3,2,2,3,4,3,3,3,4,3,3,4,1,2,2,50,60,3,3,3,4,2,2,3,3,4,3,1,1,2,4,3,2,4,6,1,4,87682,3,MT
235945,4,1,1,4,1,1,1,1,1,2,5,5,4,2,5,2,5,4,2,1,1,100,0,2,1,2,2,1,5,5,5,5,3,3,1,1,2,2,3,1,4,1,1,68067,3,MT
236120,4,2,2,5,1,1,4,1,1,1,3,4,3,2,3,1,4,4,2,2,1,80,0,3,2,1,2,4,4,5,3,5,5,2,1,1,3,2,2,1,4,1,1,255766,3,MT
236126,3,1,1,1,1,1,1,1,1,4,2,2,2,3,3,3,4,4,1,1,1,100,0,1,1,1,1,1,5,5,5,5,4,1,2,2,4,2,0,6,5,1,1,159885,3,MT
236272,2,2,1,2,1,2,1,2,2,2,4,4,4,1,4,2,5,3,2,2,2,0,70,5,5,4,5,5,2,1,2,4,2,1,1,1,4,2,1,1,5,2,1,4919,2,MT
236295,2,2,1,2,1,2,1,2,2,1,4,4,4,1,4,1,4,4,2,2,2,10,100,5,5,5,5,3,1,1,1,1,1,1,1,1,2,4,3,6,2,1,1,79900,4,MT
236314,2,1,1,1,1,1,1,1,1,3,3,1,1,3,3,3,2,3,1,2,1,80,0,2,2,2,2,2,5,5,4,5,4,1,2,1,4,4,1,1,6,1,1,86512,2,MT
236343,1,1,1,1,1,1,1,1,1,4,2,2,2,2,2,4,2,2,1,1,1,85,0,1,1,1,1,1,5,5,5,5,5,1,1,2,3,3,5,1,4,1,1,189651,4,MT
236361,1,1,1,4,1,1,1,1,1,1,5,4,5,1,5,1,4,5,2,2,2,100,0,2,1,3,3,1,5,5,4,5,5,2,1,1,2,5,1,4,2,1,5,9375,1,MT
236373,4,1,1,4,1,1,1,1,1,2,2,3,2,2,3,2,3,3,1,1,1,60,0,2,3,2,3,2,5,5,5,5,5,2,1,1,2,2,0,6,4,1,1,163502,2,MT
236414,2,1,1,4,1,1,1,1,5,2,4,1,2,2,5,2,4,5,2,1,1,100,0,2,1,1,2,1,5,5,5,5,5,2,1,2,3,2,1,1,3,2,1,285408,2,MT
236419,2,1,1,4,1,1,1,1,1,4,3,2,3,3,3,1,3,3,1,2,1,100,0,1,1,1,1,1,5,5,5,5,3,1,1,1,4,2,0,6,4,2,1,23741,2,MT
237284,4,2,1,1,1,1,1,1,5,3,5,5,5,1,5,2,5,5,2,2,1,60,0,3,4,2,3,3,4,5,4,5,3,1,1,1,1,4,1,6,2,2,3,5255,4,MT
237290,2,1,1,4,1,1,1,5,5,2,4,1,3,2,4,2,4,4,2,1,1,85,15,2,2,1,2,2,2,5,1,5,2,2,1,2,4,3,1,4,4,2,3,4404,4,MT
237296,4,2,1,2,1,2,2,2,2,4,2,1,2,3,3,4,3,2,2,2,2,0,75,5,5,5,5,3,1,2,2,2,2,2,1,2,2,4,0,6,3,1,3,37212,2,MT
237330,1,2,1,1,1,1,1,1,1,3,4,2,4,1,4,2,2,4,2,2,2,70,30,4,4,3,3,3,4,5,4,2,3,3,1,1,3,3,8,1,2,2,3,379853,2,MT
237353,2,1,1,1,1,1,1,2,1,3,2,2,3,3,2,3,2,3,1,2,1,75,40,3,3,2,2,1,5,5,5,5,4,1,1,1,3,4,2,1,4,1,2,260671,1,MT
237359,4,1,1,4,1,1,3,1,1,1,5,5,5,1,5,1,5,5,2,2,2,60,30,2,3,2,3,2,5,5,5,5,5,2,1,1,2,4,0,6,2,1,2,74408,3,MT
237412,3,1,1,4,1,1,1,1,1,2,4,3,4,1,4,2,4,4,2,2,1,15,0,3,3,4,4,2,2,4,3,5,2,2,1,1,2,4,2,1,2,1,3,200376,2,MT
237453,2,1,1,4,1,1,2,1,5,2,2,2,3,3,2,2,2,2,1,1,1,50,0,4,3,3,3,3,5,5,5,5,2,2,2,2,4,2,1,1,2,2,1,63161,2,MT
