Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2021,12,Female,17,Right-Handed,167,26,159,1,Car,8,0.371,55,Walking/Hiking,1000,1000,1000,1000,700,700,26,Same length,72,74,Ring finger,May,Fall,Yes,No,Pizza/Pasta,Tea,Art,8,9,5,Yes - broadband connection,Text messaging,50,60,45,1,6,14,8,0,7,7,14,8,2,9,Some,Undergraduate degree,Pop,Invisibility,Happy,Relative,Environment
USA,CA,2018,12,Male,16,Right-Handed,172,25,157.4,2,Bicycle,4,0.382,30,Cycling,1000,500,700,700,700,200,25,Same length,75,80,Ring finger,December,Summer,No,No,Seafood,Powdered drink,Other,6,7,4,Yes - broadband connection,Text messaging,170,170,7,30,6,3,3,3,20,25,30,0,25,2,Very little,Other,Techno/Electronic,Fly,Rich,Other,"Wildlife, animals"
USA,GA,2018,6,Female,11,Right-Handed,150,24,146,1,Bus,7,0.685,45,Dancing,1000,1000,1000,1000,550,567,22,Right foot,89,76,Index finger,April,Spring,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,9,10,3,Yes - broadband connection,In person,4,1,1,0,6,6,0,3,0,0,4,0,0,0,Some,Graduate degree,Classical,Telepathy,Happy,Doctor or nurse,Education/Youth development
USA,CA,2015,8,Male,14,Left-Handed,172,26.98,170,1,Walk,10,0.421,62,Baseball/Softball,900,900,900,1000,1000,1000,26,Same length,81,81,Same length,July,Summer,No,No,Meat,Soft drink (caffeinated),Physical education,6,10,5,Yes - other,Text messaging,100,200,4,2,1,3,5,5,5,3,5,2,0,1,Some,Graduate degree,Rap/Hip hop,Invisibility,Happy,Teacher,Health
USA,CA,2021,11,Male,19,Right-Handed,175,26,172,1,Car,40,0.307,47,Cycling,1000,1000,1000,1000,556,1000,25,Right foot,85,70,Index finger,August,Winter,Yes,No,Seafood,Water,Physical education,6,9,2,Yes - broadband connection,In person,2,7,0,0,6,2,0,0,5,5,6,0,40,4,A lot,Graduate degree,Rock and roll,Freeze time,Rich,Musician or singer,Education/Youth development
USA,GA,2011,12,Female,17,Right-Handed,167,24,176,1,Car,20,0.32,51,Running/Jogging,1000,487,497,406,294,775,25,Left foot,70,70,Same length,August,Summer,No,No,Desserts,Water,Mathematics and statistics,8,10,4,Yes - broadband connection,In person,50,50,24,2,8,12,12,0,4,5,8,3,20,2,Some,Graduate degree,Reggae,Telepathy,Happy,Teacher,Health
USA,CA,2011,7,Female,12,Right-Handed,160,21.6,157,1,Car,5,0.11,37,Hockey (Ice),1000,487,497,406,294,775,21.6,Same length,85,85,Same length,September,Winter,No,No,Desserts,Water,Other,9,8,4,Yes - broadband connection,In person,0,0,36,2,7,24,6,1,0,0,2,9,0,1,Some,Graduate degree,Punk rock,Fly,Happy,Sports person,Health
USA,CA,2020,12,Female,17,Right-Handed,162.6,22.9,157.5,1,Car,10,0.414,51,Swimming,620,299,380,497,845,861,22.9,Same length,86.4,91.4,Ring finger,July,Fall,Yes,No,No favorite,Water,Science,8,8,4,Yes - other,Internet chat or instant messaging,20,30,2,1,2,2,2,0,1,5,6,7,0,1,Very little,Other,Other,Fly,Happy,Friend,International aid
USA,CA,2018,12,Female,17,Right-Handed,156,23,162,2,Car,10,0.55,52,Swimming,7,10,10,7,5,10,23,Same length,70,75,Ring finger,April,Winter,No,No,Pizza/Pasta,Water,Mathematics and statistics,6,9,5,Yes - broadband connection,Text messaging,25,35,15,15,30,25,15,10,25,25,30,20,0,15,Some,Graduate degree,Other,Telepathy,Rich,Relative,Other
USA,GA,2016,11,Female,19,Right-Handed,124,24,121,2,Car,5,0.903,75,Swimming,1000,1000,1000,1000,0,0,24,Left foot,75,79,Ring finger,September,Spring,Yes,No,Seafood,Water,Mathematics and statistics,9,9,23,Yes - other,Text messaging,100,22,2,10,1,4,4,1,3,4,3,4,1,30,Very little,High school,Rap/Hip hop,Fly,Happy,Doctor or nurse,Education/Youth development
