V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241156,V241157,V241158,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241450,V241458x,V241459,V241463,V241471,V241501x,V241621,V243052
231739,4,1,1,1,1,1,1,1,1,3,5,4,3,3,4,1,3,4,1,2,2,90,0,90,3,2,2,2,1,5,5,5,5,2,1,1,2,3,3,2,65,1,5,2,1,3,PA
231746,3,1,1,1,1,1,2,1,1,3,4,3,2,2,4,2,3,3,1,1,1,85,0,70,2,2,2,2,2,5,5,5,5,5,1,2,1,4,2,1,40,1,5,1,1,2,PA
231806,1,1,1,1,1,1,1,1,5,2,3,4,2,3,2,3,2,4,1,1,2,100,50,85,2,1,2,2,2,4,4,5,5,4,2,2,2,3,2,1,59,6,4,2,2,2,PA
231824,2,2,1,1,1,1,1,1,1,3,3,3,4,3,3,2,3,4,1,1,1,70,30,85,4,2,3,2,1,3,5,5,5,3,2,1,2,3,2,3,54,1,5,1,4,3,PA
232053,4,1,1,1,1,1,1,1,1,2,5,4,3,2,5,2,5,5,1,2,1,70,0,60,2,2,1,2,2,5,5,4,5,5,1,1,3,4,2,0,70,3,4,2,1,3,PA
232071,1,1,1,1,1,1,1,1,1,3,2,1,3,2,3,2,3,2,1,2,1,100,0,70,2,3,2,2,2,3,5,5,5,4,1,1,3,4,2,0,65,4,4,2,1,2,PA
232178,1,2,1,4,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,0,100,0,5,5,3,5,3,1,1,1,1,1,1,2,1,4,3,0,48,1,1,1,4,1,PA
232323,3,2,1,4,1,2,1,2,2,5,1,3,3,3,5,1,3,4,2,2,2,0,100,0,5,5,5,5,3,1,1,3,4,2,2,1,1,1,4,3,38,1,2,1,1,1,PA
232567,3,2,1,5,1,2,2,2,5,3,3,2,2,3,3,3,2,3,2,2,2,0,55,0,5,4,5,5,4,1,3,4,5,1,2,1,1,1,5,0,24,6,4,1,1,5,PA
232687,4,2,2,5,1,1,4,5,5,1,2,1,1,1,2,1,2,3,2,1,2,60,30,50,2,2,2,2,2,4,4,4,4,5,2,1,1,3,5,4,19,6,2,2,3,3,PA
232763,1,1,1,5,1,1,1,5,1,4,1,1,1,4,1,4,1,1,1,1,1,100,0,100,1,1,1,1,2,5,5,5,5,5,1,2,2,4,3,2,36,6,2,1,1,1,PA
232769,2,1,1,5,1,1,1,1,1,2,1,2,2,3,3,3,2,3,1,1,1,80,0,65,2,3,2,2,2,4,5,5,5,3,1,1,2,3,2,0,33,6,4,2,1,3,PA
232829,3,1,1,5,1,1,1,1,1,2,3,3,3,1,5,1,4,5,1,1,1,95,0,60,1,1,1,1,1,5,5,5,5,5,1,1,1,3,2,1,34,1,4,1,3,3,PA
232900,3,2,1,4,1,1,3,1,5,3,2,4,3,3,3,3,4,3,1,2,1,60,0,40,2,3,2,3,2,4,5,5,5,3,2,1,1,1,2,3,49,1,4,1,1,1,PA
233116,4,1,1,4,1,1,2,1,1,3,2,2,2,3,2,3,2,2,1,1,1,60,0,60,3,3,3,3,2,5,5,5,5,2,2,1,1,3,3,1,57,1,5,2,1,3,PA
233258,2,2,1,5,1,2,1,1,1,3,3,3,3,3,3,4,3,3,1,2,1,40,60,60,3,3,3,3,2,1,3,2,4,2,1,1,1,4,3,0,73,6,2,2,1,3,PA
233595,2,1,1,4,1,1,1,1,2,2,4,3,4,1,4,1,4,5,1,1,1,70,15,50,1,2,1,2,2,5,5,5,2,3,3,1,1,2,3,0,26,6,4,1,1,3,PA
233690,1,1,1,1,1,1,1,1,1,5,2,3,2,4,3,4,3,3,1,1,1,100,0,87,2,2,1,1,1,5,5,5,5,4,2,1,2,3,3,0,44,6,2,1,3,2,PA
233725,2,1,1,1,1,1,1,1,5,2,4,4,4,1,4,2,4,4,1,1,1,85,0,70,3,1,1,1,1,4,5,5,5,3,1,1,2,3,4,6,21,6,2,1,3,1,PA
233749,3,1,1,1,1,1,2,1,5,3,3,3,2,1,3,2,2,2,2,2,1,75,0,50,2,2,1,3,3,5,5,5,5,5,2,1,1,4,3,3,27,6,4,1,3,3,PA
233802,2,2,1,1,1,1,1,1,5,2,4,4,5,2,5,1,5,4,2,1,2,30,0,15,5,5,3,4,4,4,5,5,5,2,1,1,1,3,2,0,27,6,2,2,3,2,PA
233873,2,1,1,1,1,1,1,1,1,2,2,3,4,3,5,4,4,4,1,1,1,85,4,60,2,2,2,2,2,4,3,3,5,3,1,1,2,4,2,2,82,1,4,2,4,3,PA
233914,2,1,1,4,1,1,2,1,1,3,2,3,2,3,3,3,3,3,1,1,1,70,15,85,2,2,2,2,2,4,5,4,5,4,1,1,2,4,2,1,60,1,5,2,1,2,PA
233932,3,1,1,4,1,1,2,1,5,2,3,2,3,2,3,2,3,3,2,1,2,70,0,50,3,2,2,2,2,5,5,5,3,4,1,1,2,3,4,2,24,6,4,1,4,3,PA
233979,3,1,1,1,1,1,1,1,5,3,3,3,3,1,5,2,5,3,2,2,1,85,0,70,3,3,3,3,5,4,4,5,4,5,1,2,3,3,3,4,25,6,4,1,3,5,PA
234044,4,2,1,2,1,1,1,2,2,2,4,1,2,2,4,2,3,4,2,2,1,40,15,40,5,5,3,4,2,4,5,2,5,2,1,2,1,2,2,0,63,4,4,1,1,2,PA
234107,2,1,1,1,1,1,1,1,5,2,4,4,4,2,4,2,4,4,1,1,1,70,15,60,3,3,2,3,2,5,4,4,5,3,1,1,2,3,2,0,24,6,4,1,1,3,PA
234137,1,1,1,2,1,1,1,1,1,3,5,2,2,3,2,5,3,3,1,1,1,85,0,70,3,2,3,3,4,5,5,5,5,5,1,2,2,4,2,1,77,1,3,1,4,1,PA
234274,3,1,1,1,1,1,1,1,5,2,2,4,3,3,2,1,4,3,2,1,1,70,0,60,2,4,2,4,2,4,5,5,5,3,1,1,1,2,2,0,30,6,4,1,1,2,PA
234304,3,2,1,2,1,1,2,1,5,3,3,3,3,3,3,3,3,3,1,1,1,70,0,70,3,2,2,2,2,5,5,5,5,4,1,1,2,4,2,1,74,4,5,2,1,2,PA
234530,3,1,1,1,1,1,2,5,1,2,4,2,3,1,2,3,4,5,1,1,1,70,0,85,1,1,1,2,2,5,5,5,5,5,2,1,1,3,3,2,72,3,2,2,3,4,PA
234542,3,1,1,1,1,1,2,1,5,3,2,2,3,3,3,3,2,2,1,1,1,70,40,65,3,3,4,3,2,5,5,5,5,2,2,1,1,3,3,0,32,1,4,1,3,3,PA
234595,1,1,1,4,1,2,1,2,2,2,4,2,2,3,4,3,3,3,2,2,2,50,85,30,4,4,5,4,2,2,4,2,2,2,1,1,1,4,2,5,54,1,5,1,4,3,PA
234749,2,1,1,1,1,1,1,1,1,4,2,3,4,4,2,3,4,3,1,1,1,100,0,85,1,2,2,1,2,2,5,5,5,5,2,1,1,3,3,3,46,1,4,1,1,2,PA
234868,2,2,1,2,1,2,1,2,2,2,4,5,4,1,4,1,5,4,2,2,2,0,90,0,5,5,5,5,5,1,1,2,3,2,2,1,1,3,2,0,63,4,4,1,1,2,PA
235133,2,2,1,1,1,1,1,5,5,3,4,3,4,2,5,3,4,4,2,1,2,40,50,40,2,2,2,2,2,4,5,4,5,3,1,1,1,3,3,6,20,6,2,1,3,3,PA
235346,3,1,1,2,1,2,1,2,2,3,4,2,4,2,4,1,4,2,2,2,2,0,1,0,5,5,5,5,5,3,4,4,4,3,1,1,2,3,2,0,85,6,3,2,1,2,PA
235560,2,1,1,1,1,1,4,5,1,3,4,2,3,3,3,2,3,4,2,1,1,60,0,60,2,2,2,2,2,5,5,3,5,3,2,2,2,4,4,3,38,1,4,1,3,3,PA
235607,2,2,1,1,1,1,3,5,5,2,3,2,3,3,3,3,3,3,2,2,1,50,15,50,3,4,3,4,3,5,5,5,5,4,1,1,1,4,2,0,32,6,4,1,3,2,PA
235800,1,1,1,5,1,1,1,1,1,3,5,5,5,3,5,3,5,5,1,1,1,100,0,85,2,1,1,2,1,5,5,5,5,5,2,1,1,4,4,1,76,3,3,2,1,2,PA
235835,1,2,1,4,1,2,1,2,2,2,1,1,1,1,3,2,2,4,2,2,2,15,85,20,5,5,5,5,3,1,1,2,2,1,1,1,1,2,2,1,77,1,4,2,3,2,PA
235853,4,1,1,1,1,1,2,1,1,1,4,4,4,1,4,1,4,4,2,2,2,50,30,15,3,3,3,3,3,3,4,4,5,3,2,1,1,1,3,0,63,4,2,1,1,3,PA
236058,3,1,1,5,1,2,3,5,5,1,5,4,4,1,5,1,5,5,2,2,2,15,60,0,3,3,5,5,4,4,4,3,4,4,2,2,3,4,2,5,37,6,3,1,1,3,PA
236283,2,2,1,1,1,2,1,2,5,3,3,3,3,3,3,2,3,3,2,2,2,15,85,15,4,4,4,4,2,2,4,3,5,3,2,1,1,2,3,2,27,6,4,1,1,3,PA
236326,1,1,1,1,1,1,1,1,1,4,2,1,2,4,3,4,3,1,1,1,1,85,0,85,1,1,1,1,1,4,5,5,5,2,1,2,2,4,2,0,83,4,6,2,1,2,PA
236337,2,1,1,5,1,1,1,1,1,3,3,2,2,2,4,2,2,3,1,1,1,85,0,85,2,1,1,1,2,5,5,5,5,3,1,1,2,4,4,0,57,6,4,1,1,3,PA
236367,4,1,1,5,1,1,1,1,2,4,1,2,1,2,2,3,3,2,2,2,2,60,30,60,4,3,4,3,3,5,4,4,5,4,1,2,1,4,2,0,66,3,3,2,1,1,PA
236449,4,2,1,5,1,2,1,2,2,3,3,2,2,3,3,2,4,3,2,2,2,0,85,0,5,4,4,5,3,1,2,2,3,1,2,1,1,3,2,3,38,1,4,1,1,1,PA
236520,3,2,2,5,1,2,1,5,5,1,5,4,4,1,5,1,4,5,2,2,2,0,85,15,5,4,5,5,4,3,2,3,2,2,3,1,1,2,3,0,68,4,6,2,1,4,PA
