Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,OH,2022,7,Female,13,Right-Handed,157.5,10,100,1,Bus,10,0.3,45,Athletics,0,80,70,60,422,770,22,Same length,85,60,Same length,September,Summer,No,No,Pizza/Pasta,Water,Art,7,10,6,Yes - broadband connection,Text messaging,50,60,8,21,7,5,7,2,10,10,4,2,0,1,A lot,Some college,Pop,Fly,Happy,Relative,Health
USA,OH,2013,4,Male,10,Ambidextrous,150,22,140,1,Car,10,0.4,46,Hockey (Ice),0,1000,1000,1000,0,1000,23,Left foot,110,65,Index finger,November,Winter,Yes,No,Other,Water,Mathematics and statistics,9,12,6,Yes - other,Cell phone,0,3,110,100,1,150,149,1,1,0,2,80,0,4,A lot,Graduate degree,Rap/Hip hop,Invisibility,Healthy,Relative,"Wildlife, animals"
USA,FL,2015,11,Male,16,Right-Handed,168,28,158,2,Car,15,0.709,50,Soccer,1000,1000,1000,1000,850,900,27,Right foot,80,86,Ring finger,June,Summer,Yes,No,Pizza/Pasta,Water,Art,7,9,6,Yes - broadband connection,Cell phone,100,100,15,14,16,6,8,0,1,7,20,0,0,2,Some,Graduate degree,Rap/Hip hop,Freeze time,Happy,Musician or singer,Environment
USA,FL,2015,7,Female,12,Right-Handed,147,80,178,2,Car,15,0.785,48,Other,500,500,500,600,500,800,35,Left foot,84,90,Ring finger,August,Winter,No,No,Pizza/Pasta,Water,Physical education,8,10,4,Yes - broadband connection,Text messaging,0,0,35,3,6,6,7,0,9,7,7,4,2,4,A lot,Graduate degree,Pop,Telepathy,Healthy,Coach or club leader,International aid
USA,OH,2020,12,Female,17,Right-Handed,177.8,27.9,170,2,Car,13,0.468,41,Basketball,500,500,500,273,750,750,28,Left foot,75,73,Index finger,November,Fall,No,No,No favorite,Tea,Music,6,9,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",850,900,30,24,5,14,10,20,20,20,5,5,15,0,Very little,Graduate degree,Rhythm and blues (R&B),Telepathy,Happy,Relative,International aid
USA,FL,2022,11,Male,16,Right-Handed,170.1,28,170.1,1,Car,10,7.06,48,Martial Arts,500,300,1000,1000,100,100,28,Same length,70,70,Same length,June,Fall,No,No,Rice/Noodle dishes,Water,Music,4,6,2,Yes - other,In person,5,10,20,1,10,5,10,13,10,5,30,15,56,10,A lot,Graduate degree,Pop,Freeze time,Happy,Musician or singer,Health
USA,FL,2022,11,Female,16,Right-Handed,150,22,150,1,Bus,10,0.739,38,Gymnastics,1000,1000,1000,1000,100,500,22,Same length,65,60,Index finger,July,Summer,Yes,No,Meat,Juice,Languages,10,6,3,Yes - broadband connection,In person,10,7,64,24,16,72,0,72,0,0,72,0,0,12,Some,Graduate degree,Pop,Freeze time,Happy,Relative,International aid
USA,FL,2015,11,Male,16,Right-Handed,173,23,182.8,2,Car,15,1.01,54,Soccer,400,600,900,1000,350,1000,24,Left foot,80,90,Ring finger,October,Summer,Yes,No,Meat,Other,History,6,11,3,Yes - broadband connection,Text messaging,102,152,12,5,3,3,6,2,2,7,3,12,0,3,Some,Graduate degree,Rap/Hip hop,Telepathy,Rich,Relative,International aid
USA,OH,2020,8,Male,13,Right-Handed,168,25.5,168,1,Bus,15,0.372,45,Other,749,668,225,230,417,567,25.5,Right foot,70,73,Ring finger,August,Fall,Yes,No,Pizza/Pasta,Milk,Science,8,9,3,Yes - broadband connection,Text messaging,5,5,40,0,3,5,12,8,7,1,70,3,0,1,Some,Graduate degree,Rock and roll,Fly,Rich,Other,"Wildlife, animals"
USA,FL,2014,12,Male,17,Right-Handed,181,28,188,1,Car,10,0.099,43,Other,1000,500,600,700,200,300,28,Same length,85,89,Ring finger,July,Fall,No,No,Breads/Sandwiches,Sports drink,Science,8,12,3,Yes - other,Text messaging,10,10,5,1,1,5,10,1,2,2,1,4,0,5,Very little,Graduate degree,Country,Super strength,Rich,Sports person,"Wildlife, animals"
