V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241450,V241459,V241463,V241471,V241501x,V241521,V241621,V243052
215487,3,1,1,5,1,1,1,1,5,3,2,3,1,2,3,3,3,3,1,1,1,95,15,1,1,1,1,1,5,5,5,5,5,2,1,1,3,2,2,6,4,1,2,1,2,DS
215611,1,1,2,5,1,1,1,1,5,3,1,1,2,2,2,2,2,2,2,2,2,100,40,1,1,1,1,1,5,5,5,5,5,1,2,1,2,5,11,6,2,1,2,7,1,DS
215617,1,1,2,5,1,1,1,5,5,4,3,1,2,3,2,3,1,3,1,1,1,100,30,1,1,1,1,1,5,5,5,5,5,1,1,2,2,2,0,1,3,2,2,0,3,DS
216251,3,2,1,5,1,2,3,5,5,3,5,5,5,1,5,1,5,5,2,2,2,5,90,5,5,5,5,3,1,1,1,1,1,1,1,1,2,3,2,6,2,2,1,0,3,DS
216257,2,2,1,5,1,2,1,2,2,3,5,5,3,1,5,1,4,5,2,2,2,15,70,5,5,5,5,4,1,1,2,3,3,2,1,1,2,4,1,1,3,2,1,0,1,DS
216281,3,1,1,5,1,2,1,2,5,1,3,3,4,1,3,1,4,4,2,2,2,10,90,4,5,5,5,4,1,2,2,2,2,1,1,1,2,3,0,1,4,1,1,0,2,DS
216419,2,1,1,5,1,1,1,1,2,3,3,3,4,3,3,3,3,4,1,1,1,75,10,1,1,1,2,1,5,5,5,5,4,1,1,1,3,2,6,1,4,1,1,5,1,DS
217005,3,1,1,5,1,1,2,5,5,1,5,5,5,1,5,1,5,5,2,1,2,94,50,2,1,1,2,1,5,5,5,5,5,1,1,1,2,3,3,6,2,2,2,1,4,DS
217017,3,2,1,5,1,2,1,2,5,4,1,2,4,2,1,3,3,2,2,2,2,15,60,5,3,3,5,3,1,3,3,5,4,2,1,2,3,2,2,1,4,1,1,1,1,DS
217125,3,1,1,5,1,1,2,1,5,1,5,5,5,1,5,1,5,5,2,1,2,50,30,3,1,2,2,2,5,5,3,5,1,1,1,1,2,3,0,1,4,1,1,0,3,DS
219208,4,1,2,5,1,1,2,5,5,2,4,4,4,1,4,2,4,4,1,1,1,50,50,2,2,2,2,1,3,5,4,3,5,2,1,2,2,4,0,6,2,1,2,0,3,DS
219621,2,2,1,2,1,2,3,2,2,3,4,2,3,2,3,2,2,3,2,2,2,30,70,4,5,4,5,4,2,2,3,3,3,3,1,1,1,5,0,6,2,1,3,1,4,DS
219674,5,2,1,5,1,2,5,5,5,4,2,1,1,2,3,3,3,3,1,1,1,30,30,4,4,4,4,4,4,4,4,4,4,3,2,1,1,1,0,1,1,2,1,8,1,DS
220006,2,1,1,4,1,1,1,1,5,3,2,4,4,2,4,2,4,2,1,1,1,60,40,3,3,2,3,2,5,5,4,5,4,2,1,2,4,3,1,1,4,1,1,1,2,DS
220189,2,1,1,5,1,1,1,1,1,5,3,5,3,3,2,5,3,3,1,1,1,90,20,1,2,1,2,1,5,5,4,5,5,1,1,2,3,2,3,1,4,2,1,0,2,DS
220262,2,1,1,1,1,1,1,1,1,4,2,1,1,4,3,4,2,2,1,2,1,65,40,3,2,2,2,2,3,5,3,5,4,1,1,2,4,2,0,6,4,2,1,0,2,DS
220315,1,1,1,5,1,1,1,1,1,4,2,1,1,3,2,4,2,2,1,1,1,80,15,2,1,1,1,1,5,5,5,5,5,1,2,2,4,2,1,1,4,2,1,0,1,DS
