Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours
USA,TN,2020,6,Male,12,Right-Handed,160,9,163,2,Car,30,0.6,120,Swimming,50,100,100,100,0,100,25,Right foot,95,75,Index finger,February,Summer,Yes,No,Pizza/Pasta,Juice,Mathematics and statistics,10,12,4,Yes - dial-up connection,In person,0,3,3,1,1,2,0,3,2,1,4
USA,TN,2020,12,Female,17,Right-Handed,165,23,167,1,Car,10,0.546,50,Basketball,909,888,674,840,492,251,23,Same length,67,70,Ring finger,January,Summer,Yes,No,No favorite,Water,History,8,9,4,Yes - broadband connection,Text messaging,100,100,7,7,35,20,35,0,20,20,25
USA,TN,2020,6,Female,12,Right-Handed,137,18,128,1,Car,10,0.409,33,Gymnastics,899,999,799,900,400,600,19,Left foot,60,70,Ring finger,January,Spring,No,No,Other,Water,Art,9,10,6,Yes - broadband connection,Text messaging,50,50,35,5,4,52,2,0,7,1.5,2
USA,TN,2020,12,Female,18,Right-Handed,151,21,144,2,Bus,5,0.331,51,None,1000,1000,1000,1000,0,455,22,Right foot,40,41,Same length,November,Summer,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,4,6,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",0,0,0,2,5,0,0,0,1,0,0
USA,CT,2020,12,Male,17,Right-Handed,182.8,30,98.2,1,Bus,40,0.445,40,Skateboarding/Rollerblading,561,561,701,759,406,578,28,Right foot,26,27,Ring finger,September,Fall,Yes,No,Rice/Noodle dishes,Water,History,6,8,9,Yes - broadband connection,Text messaging,45,40,0,2,8,2,0,20,8,4,5
USA,TN,2020,6,Male,12,Right-Handed,157,26,156,3,Car,13,0.733,34,Tennis,900,800,500,650,700,900,25,Right foot,80,70,Index finger,August,Fall,No,No,No favorite,Water,Other,9,8,6,Yes - broadband connection,In person,0,0,24,1,6,12,5,1,0,0,10
USA,TN,2020,12,Male,17,Ambidextrous,166.7,22.5,188,0,Walk,1,0.366,50,Other,1000,722,487,941,604,818,23,Left foot,72,72,Same length,April,Winter,No,No,Meat,Soft drink (caffeinated),Art,7,7,3,Yes - other,Internet chat or instant messaging,6,8,0,28,3,0,0,3,2.33,0.82,30
USA,CT,2020,12,Male,17,Right-Handed,178,27,177,1,Car,4,0.297,45,Soccer,800,600,500,1000,500,700,26,Right foot,80,80,Same length,February,Summer,No,No,Meat,Water,Physical education,6,10,4,Yes - dial-up connection,"Myspace, Facebook, other social networking sites, or blog",70,70,15,5,6,8,15,4,20,13,50
USA,TN,2020,6,Female,12,Ambidextrous,154,23,158,2,Car,25,0.117,33,Tennis,1000,999,998,997,213,420,22,Right foot,91,90,Index finger,November,Winter,Yes,Yes,Seafood,Water,Other,6,12,4,Yes - broadband connection,In person,12,117,25,0,3,2,3,2,0,1,7
USA,TN,2020,12,Female,17,Right-Handed,147.3,20,147.3,2,Bus,10,0.526,29,Dancing,450,500,650,500,350,750,20,Same length,90,56,Same length,July,Spring,No,No,Rice/Noodle dishes,Water,English,4,10,4,Yes - other,Text messaging,10,10,7,14,37,0,0,0,16,2,37
USA,TN,2020,6,Female,11,Right-Handed,147.3,21,147,2,Car,25,0.36,42,Baseball/Softball,1000,1000,900,700,1000,1000,22,Left foot,92,8,Ring finger,May,Summer,Yes,Yes,Pizza/Pasta,Water,Other,5,3,4,Yes - other,Text messaging,80,75,15,25,3,3,12,5,1,15,10
USA,TN,2020,6,Male,12,Ambidextrous,155,23,150,1,Car,50,0.539,54,Athletics,450,500,650,500,350,750,22,Right foot,90,75,Index finger,June,Spring,Yes,No,Rice/Noodle dishes,Water,English,6,5,4,Yes - other,Text messaging,80,75,15,25,3,3,12,5,1,15,10
USA,TN,2020,12,Female,17,Ambidextrous,174,23,164,2,Car,15,0.6,50,Walking/Hiking,500,400,400,300,300,600,22,Right foot,88,7,Same length,April,Spring,No,No,Desserts,Water,Art,6,5,7,Yes - broadband connection,In person,40,40,60,2,3,50,10,0,40,7,25
USA,TN,2020,6,Male,12,Right-Handed,127,22,148,2,Car,5,0.378,39,Other,1000,980,920,987,300,300,21,Right foot,70,60,Ring finger,October,Winter,No,No,Rice/Noodle dishes,Milk,Physical education,8,6,2,Yes - broadband connection,Text messaging,3,3,24,1,4,7,5,6,6,2,6
USA,TN,2020,12,Female,17,Right-Handed,168,24,172,1,Car,18,0.343,48,Other,450,500,650,500,350,750,24,Same length,85,420,Ring finger,December,Fall,No,No,Desserts,Water,History,8,10,6,Yes - other,Text messaging,50,100,10,2,2,1,10,0,15,5,1
USA,CT,2020,12,Male,17,Right-Handed,177,32,172,1,Car,10,0.32,40,Baseball/Softball,650,600,600,550,850,750,32,Same length,80,85,Ring finger,November,Spring,Yes,No,Pizza/Pasta,Juice,Computers and technology,7,10,4,Yes - broadband connection,Text messaging,30,35,20,0.25,5,10,20,10,15,5,5
USA,TN,2020,12,Female,17,Right-Handed,58,20,155,1,Car,15,0.63,67,Basketball,500,500,500,500,500,1000,20,Same length,75,73,Index finger,May,Fall,No,No,Fruit,Coffee,Science,7.5,6,4,Yes - broadband connection,Cell phone,5,7,10,0,1,5,14,0,15,1,40
