Year,Player,GradStatus,School,Conference,Team,Round,PickNumber,Height,Weight,FortyYdSpr,JmpVert,BPress,BrJump,ThreeCone,RunShut,BMI,Player_Type,Position_Type,Position,Drafted,filter_$
2009,Will Davis\DaviWi99,    2.00,Illinois,NFC,ArizonaCardinals,Late,204,1.8796,118.3876086,4.84,83.82,27,292.1,7.38,4.45,33.5100731,defense,defensive_lineman,DE,Yes,1
2009,Rashad Johnson\JohnRa98,    2.00,Alabama,NFC,ArizonaCardinals,Middle,95,1.8034,92.07925111,4.49,93.98,15,304.8,7.09,4.23,28.31246274,defense,defensive_back,FS,Yes,1
2009,Cody Brown\BrowCo96,    2.00,Connecticut,NFC,ArizonaCardinals,Early,63,1.8796,110.6765383,4.76,92.71,26,304.8,7.1,4.4,31.32742466,defense,line_backer,OLB,Yes,1
2009,Garrett Reynolds\ReynGa20,    1.00,North Carolina,NFC,AtlantaFalcons,Middle,156,2.032,140.1600423,5.32,55.88,19,238.76,7.87,4.88,33.94507814,offense,offensive_lineman,OT,Yes,1
2009,Lawrence Sidbury\SidbLa99,    2.00,Richmond,NFC,AtlantaFalcons,Middle,125,1.8796,120.6555704,4.53,88.9,28,304.8,7.46,4.43,34.15202852,defense,defensive_lineman,DE,Yes,1
2009,Chris Owens\OwenCh99,    2.00,San Jose St.,NFC,AtlantaFalcons,Middle,90,1.778,82.10021897,4.44,87.63,14,279.4,6.93,4.16,25.97052937,defense,defensive_back,CB,Yes,1
2009,William Moore\MoorWi99,    2.00,Missouri,NFC,AtlantaFalcons,Early,55,1.8288,100.2439138,4.49,93.98,16,312.42,6.81,4.26,29.97268077,defense,defensive_back,SS,Yes,1
2009,Michael Oher\OherMi20,    2.00,Mississippi,AFC,BaltimoreRavens,Early,23,1.9304,140.1600423,5.16,77.47,21,261.62,7.81,4.6,37.61227495,offense,offensive_lineman,OT,Yes,1
2009,Davon Drew\DrewDa00,    2.00,East Carolina,AFC,BaltimoreRavens,Middle,149,1.9304,116.1196467,4.78,74.93,17,287.02,7.28,4.56,31.1609786,offense,backs_receivers,TE,Yes,1
2009,Lardarius Webb\WebbLa99,    2.00,Nicholls St.,AFC,BaltimoreRavens,Middle,88,1.778,81.19303423,4.35,92.71,15,307.34,6.77,4.1,25.6835622,defense,defensive_back,CB,Yes,1
2009,Paul Kruger\KrugPa99,    2.00,Utah,AFC,BaltimoreRavens,Early,57,1.9304,119.2947933,4.79,82.55,24,274.32,7.52,4.47,32.01303661,defense,defensive_lineman,DE,Yes,1
2009,Cedric Peerman\PeerCe00,    2.00,Virginia,AFC,BaltimoreRavens,Late,185,1.7526,97.97595192,4.34,101.6,27,297.18,6.99,4.29,31.89729662,offense,backs_receivers,RB,Yes,1
2009,Aaron Maybin\MaybAa99,    1.00,Penn St.,AFC,BuffaloBills,Early,11,1.9304,112.9445001,4.64,96.52,22,314.96,7.52,4.38,30.30892059,defense,defensive_lineman,DE,Yes,1
2009,Shawn Nelson\NelsSh00,    2.00,Southern Miss,AFC,BuffaloBills,Middle,121,1.9558,108.8621688,4.52,83.82,19,292.1,6.96,4.46,28.45955458,offense,backs_receivers,TE,Yes,1
2009,Eric Wood\WoodEr20,    2.00,Louisville,AFC,BuffaloBills,Early,28,1.9304,140.6136347,5.19,77.47,30,251.46,7.56,4.51,37.73399752,offense,offensive_lineman,C,Yes,1
2009,Nic Harris\HarrNi99,    2.00,Oklahoma,AFC,BuffaloBills,Middle,147,1.8796,106.1406146,4.83,80.01,15,276.86,7.05,4.37,30.04351381,defense,line_backer,OLB,Yes,1
2009,Everette Brown\BrowEv99,    1.00,Florida St.,NFC,CarolinaPanthers,Early,43,1.8542,116.1196467,4.65,80.01,26,289.56,7.55,4.53,33.77478183,defense,defensive_lineman,DE,Yes,1
2009,Tony Fiammetta\FiamTo00,    2.00,Syracuse,NFC,CarolinaPanthers,Middle,128,1.8288,111.1301307,4.58,86.36,30,284.48,7.31,4.49,33.22763253,offense,backs_receivers,FB,Yes,1
2009,Mike Goodson\GoodMi00,    1.00,Texas A&M,NFC,CarolinaPanthers,Middle,111,1.8288,94.34721296,4.43,100.33,14,299.72,6.89,4.22,28.2095819,offense,backs_receivers,RB,Yes,1
