student_id,year,country,mother_educ,father_educ,gender,math,read,science,stu_wgt,computer,internet,room,television,computer_n,car,book,wealth,escs
12414041,2018,CAN,4,5,male,423.194,404.011,543.091,5.10667,yes,yes,yes,1,1,2,11-25,Moderate,Lower
2561,2012,CAN,5,5,male,467.2924,554.8475,619.862,13.4783,yes,yes,yes,3+,3+,1,26-100,Moderate,Lower
20533,2012,CAN,5,5,male,352.2433,349.5496,394.8527,66.3051,yes,yes,yes,2,2,0,101-200,Moderate,Lower
16536,2012,CAN,5,5,female,458.3346,444.8176,440.7311,2.1111,yes,yes,yes,3+,3+,3+,11-25,High,HIgher
8625,2012,CAN,5,5,male,662.9615,616.9181,642.2417,1.5238,yes,yes,yes,3+,3+,2,101-200,Moderate,HIgher
7553,2012,CAN,5,5,male,581.4847,609.7006,547.1279,33.5116,yes,yes,yes,3+,3+,3+,101-200,High,HIgher
1713,2012,CAN,2,2,male,448.8316,404.964,355.9679,58.5574,yes,yes,no,3+,3+,3+,26-100,Moderate,Lower
10642,2012,CAN,5,5,male,450.6232,401.1949,452.9467,7.9663,yes,yes,yes,3+,3+,3+,more than 500,Moderate,HIgher
12401128,2018,CAN,4,3,male,516.686,405.6,342.362,34.01829,yes,yes,no,3+,3+,3+,11-25,Moderate,HIgher
19849,2012,CAN,5,5,male,497.2036,449.071,443.9015,2.1404,yes,yes,yes,3+,1,3+,26-100,Moderate,Lower
20555,2012,CAN,5,5,female,618.7958,648.8759,546.3819,29.4448,yes,yes,yes,3+,3+,1,101-200,Moderate,HIgher
12414452,2018,CAN,5,5,female,535.807,569.024,545.298,1.57812,yes,yes,yes,2,3+,2,26-100,Moderate,HIgher
12404093,2018,CAN,5,5,male,396.645,299.949,378.601,2.98761,yes,yes,yes,2,0,2,11-25,Moderate,HIgher
12423175,2018,CAN,5,5,male,431.528,479.017,484.298,1.67184,no,yes,yes,3+,0,3+,0-10,Moderate,Lower
